TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,CONSTRAINT_NAME,FK_NAME
------------,----------,-----------,----------------,---------,-----------,------------------------,-----------------,-------------,---------------,-------
CRIZAFAUX,NFModBaseCalcICMSST,id,1,bigint,YES,NULL,19,0,NULL,NULL
CRIZAFAUX,NFModBaseCalcICMSST,ds_modalidade,2,nvarchar,YES,500,NULL,NULL,NULL,NULL
